set,idx,category,layer,proj_S1,proj_S2
S1_1P,2,A3,3,0.6092328568664783,-0.5614632229762743
S1_1P,2,A3,4,0.505608808455326,-0.9842749976401357
S1_1P,2,A3,5,-0.6022806685414788,0.7579253131567409
S1_1P,2,A3,6,-2.455991347563351,1.2616175302270416
S1_1P,2,A3,7,-5.683744447381686,1.354565220156533
S1_1P,2,A3,8,-3.733837383402581,2.2078482041052876
S1_1P,2,A3,9,-7.910036948826425,2.127045733483401
S1_1P,2,A3,10,-10.004738368186908,4.116902481536959
S1_1P,2,A3,11,-5.153984984873898,3.6190294693998495
S1_1P,2,A3,12,-4.97619014302328,0.724497564829961
S1_1P,2,A3,13,-4.281232195385493,-5.719437372146051
S1_1P,2,A3,14,-5.508480678898048,-3.5966070110329573
S1_1P,2,A3,15,-7.205641553387865,-3.4129454810908344
S1_1P,2,A3,16,-8.11121681894835,-1.9889784608481516
S1_1P,2,A3,17,-6.989544270482449,1.2314994459139306
S1_1P,2,A3,18,-8.07820957718381,4.324188660895669
S1_1P,2,A3,19,-3.5021130710441426,0.5542209684976338
S1_1P,2,A3,20,-10.396787826689694,-2.999778024816573
S1_1P,2,A3,21,-12.168809624467738,-3.5699425792683446
S1_1P,2,A3,22,-7.792957033858676,3.397657947870724
S1_1P,2,A3,23,-3.898111678566144,1.0512169616239664
S1_1P,2,A3,24,3.7727686851374482,0.710700754467128
S1_1P,3,A4,0,-0.2697813971469874,-1.190336232212983
S1_1P,3,A4,1,-0.17425101744089874,-0.46879234346439524
S1_1P,3,A4,2,-0.7955320601647365,-1.2984264785621993
S1_1P,3,A4,3,0.33772601596630664,-0.9530068985438622
S1_1P,3,A4,4,-0.018549007716808674,-1.8369039035847023
S1_1P,3,A4,5,-1.7459867244854568,0.7183928394882323
S1_1P,3,A4,6,-3.3736969559889287,0.16176935133947246
S1_1P,3,A4,7,-6.230917135856337,0.14007942944103235
S1_1P,3,A4,8,-4.536850556562662,0.3344988463485832
S1_1P,3,A4,9,-8.415382688343364,0.8540934517984855
S1_1P,3,A4,10,-10.398577861315577,1.98970610292491
S1_1P,3,A4,11,-6.142760218061611,1.491309329594365
S1_1P,3,A4,12,-6.060795023933839,-2.4314639907050593
S1_1P,3,A4,13,-4.8436734998866875,-8.724193644812505
